id,player name,player names
90f47cf2,MH Wessels,"['MH Wessels', 'M Wessels']"
92aeac25,AD Hales,"['AD Hales', 'A Hales', 'Alex Hales']"
85dcb721,TJ Moores,"['TJ Moores', 'T Moores']"
0e0d43b4,SJ Mullaney,"['SJ Mullaney', 'S Mullaney', 'Mullaney']"
18fac429,SR Patel,"['SR Patel', 'S Patel', 'Samit Patel']"
2a2e6343,DT Christian,"['DT Christian', 'D Christian', 'Daniel Christian']"
0d61d8f0,JD Libby,"['JD Libby', 'J Libby']"
72898514,WT Root,"['WT Root', 'W Root']"
e423d162,LJ Fletcher,"['LJ Fletcher', 'L Fletcher', 'Fletcher']"
641ac5ff,IS Sodhi,"['IS Sodhi', 'Ish Sodhi', 'Sodhi', 'I Sodhi']"
e412cb64,HF Gurney,"['HF Gurney', 'H Gurney']"
d6663a9a,EJ Pollock,"['EJ Pollock', 'E Pollock']"
33155d1b,IR Bell,"['IR Bell', 'Ian Bell', 'I Bell']"
104e88a4,AJ Hose,"['AJ Hose', 'A Hose']"
67b9536c,SR Hain,"['SR Hain', 'S Hain']"
94d7f855,C de Grandhomme,"['C de Grandhomme', 'Colin de Grandhomme', 'de Grandhomme']"
c03449e0,GD Elliott,"['GD Elliott', 'Grant Elliott', 'G Elliott']"
a15aaa7f,TR Ambrose,"['TR Ambrose', 'Timothy Ambrose']"
f5821615,JS Patel,"['JS Patel', 'Jeetan Patel', 'J Patel', 'Patel']"
0c5bb005,AD Thomason,"['AD Thomason', 'A Thomason']"
bbbb7f1e,JE Poysden,"['JE Poysden', 'J Poysden']"
e0ac7144,OJ Hannon-Dalby,['OJ Hannon-Dalby']
45963d9e,N Dickwella,"['N Dickwella', 'Niroshan Dickwella', 'DPDN Dickwella']"
9ab2914d,S Samarawickrama,"['S Samarawickrama', 'Sadeera Samarawickrama', 'WSR Samarawickrama']"
8dd02a98,LD Chandimal,"['LD Chandimal', 'Dinesh Chandimal', 'D Chandimal']"
5d1e7582,BKG Mendis,"['BKG Mendis', 'Kusal Mendis']"
3ff033bb,MD Shanaka,"['MD Shanaka', 'Dasun Shanaka', 'D Shanaka']"
0f12f9df,NLTC Perera,"['NLTC Perera', 'Thisara Perera', 'NTLC Perera']"
7d608e12,DM de Silva,"['DM de Silva', 'Dhananjaya de Silva', 'D de Silva']"
5b16a806,A Dananjaya,"['A Dananjaya', 'Akila Dananjaya', 'MKPAD Perera']"
